Date,Open,High,Low,Close,Change,%Change,Volume
11/15/13,124.16,124.52,124.07,124.32,0.05,0.04%,4664200
11/18/13,123.7,123.96,122.55,122.9,-1.42,-1.14%,6241200
11/19/13,122.97,123.4,122.83,122.95,0.05,0.04%,3666400
11/20/13,121.67,122.44,119.76,120.12,-2.83,-2.30%,14281000
11/21/13,119.81,120.35,119.31,119.94,-0.18,-0.15%,7562900
11/22/13,120.24,120.4,119.82,119.92,-0.02,-0.02%,6776400
11/25/13,119.18,121,119.13,120.46,0.54,0.45%,7271800
11/26/13,119.84,120.4,119.59,119.82,-0.64,-0.53%,9053300
11/27/13,120.51,120.69,119.25,119.46,-0.36,-0.30%,6144500
11/29/13,120.67,121.05,120.62,120.7,1.24,1.04%,2364600
12/2/13,119.2,119.29,117.5,117.58,-3.12,-2.58%,10297100
12/3/13,117.59,118.31,117.23,117.96,0.38,0.32%,7004800
12/4/13,118.34,120.76,118.16,119.96,2,1.70%,9110600
12/5/13,118.2,119.24,117.41,118.3,-1.66,-1.38%,10254600
12/6/13,118.86,119.26,118.01,118.55,0.25,0.21%,7910000
12/9/13,118.99,119.92,118.95,119.72,1.17,0.99%,5510300
12/10/13,122.14,122.32,121.47,121.82,2.1,1.75%,9164400
12/11/13,121.49,121.81,120.76,120.86,-0.96,-0.79%,9934900
12/12/13,118.61,118.82,118.03,118.29,-2.57,-2.13%,8810800
12/13/13,118.89,119.49,118.76,119.38,1.09,0.92%,6484800
12/16/13,119.23,120.77,118.97,119.69,0.31,0.26%,8193300
12/17/13,118.96,119.9,118.37,118.65,-1.04,-0.87%,8589100
12/18/13,119,120.05,117.29,117.61,-1.04,-0.88%,16265000
12/19/13,115.97,116.06,114.5,114.82,-2.79,-2.37%,15984700
12/20/13,115.37,116.47,115.06,115.94,1.12,0.98%,14697700
12/23/13,115.61,116.12,115.43,115.57,-0.37,-0.32%,6244100
